symbol,category,ai_strategy,annualized_return,annualized_volatility,sharpe_ratio,max_drawdown,months_analyzed,start_date,end_date,capex_2025_B,capex_2026_B,ai_pct_of_capex,est_ai_spend_2026_B
NVDA,Infrastructure,Sells AI hardware,130.31,44.5,2.838,-21.6,39,2022-12-01,2026-03-01,,,,
META,AI Builder,"Proprietary (Llama, MTIA chips)",67.62,36.66,1.735,-32.03,39,2022-12-01,2026-03-01,72.2,125.0,95,118.8
GOOGL,AI Builder,"Proprietary (Gemini, TPUs)",47.76,28.29,1.547,-24.2,39,2022-12-01,2026-03-01,75.0,180.0,80,144.0
MSFT,AI Integrator,Partnership (OpenAI),16.91,22.68,0.569,-32.34,39,2022-12-01,2026-03-01,80.0,145.0,60,87.0
AMZN,AI Integrator,Partnership (Anthropic),36.13,26.85,1.197,-22.41,39,2022-12-01,2026-03-01,124.5,200.0,40,80.0
CRM,Legacy Tech,AI features (Einstein),20.22,36.3,0.447,-42.62,39,2022-12-01,2026-03-01,,,,
ORCL,Legacy Tech,Cloud/AI pivot,29.55,41.83,0.611,-50.01,39,2022-12-01,2026-03-01,,,,
ADBE,Legacy Tech,AI-disrupted (Firefly),-5.11,34.68,-0.263,-61.87,39,2022-12-01,2026-03-01,,,,
AAPL,Control,Late mover (Apple Intelligence),25.29,21.03,1.012,-19.71,39,2022-12-01,2026-03-01,,,,
TSLA,Control,Autonomous driving / robotics,61.74,57.71,1.001,-35.95,39,2022-12-01,2026-03-01,,,,
